       PADS LIBRARY (IC Part Types) DIRECTORY LISTING


Library: IC
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Part Name                                |CCC P/N       |VALUE             |MFG #1                     |MFG #1 P/N              |PCB Decal                      |DESCRIPTION                                            |ROHS |DISTRIBUTOR P/N              |Logic Decal                                                                                                                                                               |DISTRIBUTOR |PACKAGE                         
|IC-PWR-MONITOR-SOT23-6-MAX16052AUT+T     |              |PWR MONITOR       |MAXIM INTEGRATED PRODUCTS  |MAX16052AUT+T           |SOT95P284X145-6N               |PWR MONITOR/SEQUENCER SOT23-6                          |Yes  |MAX16052AUT+TTR-ND           |IC_MAX16052                                                                                                                                                               |            |SOT23-6                         
|IC-RAM-44TSOP-MR0A08BCYS35               |              |RAM               |EVERSPIN                   |MR0A08BCYS35            |TSOP80P1176X120-44N            |MRAM 1MBIT 35NS 44TSOP                                 |Yes  |MR0A08BCYS35R-ND             |IC_MR0A08BCYS35                                                                                                                                                           |            |44TSOP                          
|IC-RAM-48FBGA-MR4A16BCMA35               |              |RAM               |EVERSPIN                   |MR4A16BCMA35            |FBGA_48P_0.75                  |MRAM,16MBIT,35NS,48FBGA                                |Yes  |819-1016-ND                  |IC_MR4A16BCMA35                                                                                                                                                           |            |48FBGA                          
|IC-RAM-48LFBGA-CY7C1051DV33-10BAXI       |              |RAM               |CYPRESS SEMICONDUCTOR      |CY7C1051DV33-10BAXI     |FBGA_48P_0.75_S                |SRAM,8MBIT,10NS,48LFBGA                                |Yes  |CY7C1051DV33-10BAXI-ND       |IC_CY7C1051DV33-10BAXI                                                                                                                                                    |            |48LFBGA                         
|IC-REFERENCE-8-SOIC-AD780ARZ             |              |REFERENCE         |ANALOG DEVICES             |AD780ARZ                |SOIC127P517X175-8              |REFERENCE,2.5V,+/- 5MV,8SOP                            |Yes  |AD780ARZ-ND                  |IC_AD780ARZ                                                                                                                                                               |            |8-SOIC                          
|IC-REFERENCE-8-SOIC-ADR292ERZ            |              |REFERENCE         |ANALOG DEVICES             |ADR292ERZ               |SOIC127P517X175-8              |REFERENCE,4.1V,0.07%,8-SOIC                            |Yes  |ADR292ERZ-ND                 |IC_ADR292ERZ                                                                                                                                                              |            |8-SOIC                          
|IC-REFERENCE-8-SOIC-LM285DR-1-2          |              |REFERENCE         |NATIONAL SEMICONDUCTOR     |LM285DR-1-2             |SOIC127P517X175-8              |REFERENCE,SHUNT,1.24V,8-SOIC                           |Yes  |296-26087-1-ND               |IC_LM285DR-1-2                                                                                                                                                            |            |8-SOIC                          
|IC-REFERENCE-8-SOIC-MAX6250BESA+         |              |REFERENCE         |MAXIM INTEGRATED PRODUCTS  |MAX6250BESA+            |SOIC127P517X175-8              |REFERENCE,SERIES BURIED,ZNR,8-SOIC                     |Yes  |MAX6250BESA+-ND              |IC_MAX6250BESA+                                                                                                                                                           |            |8-SOIC                          
|IC-REFERENCE-SOT-23-3-LM4040D50IDBZR     |              |REFERENCE         |TEXAS INSTRUMENTS          |LM4040D50IDBZR          |SOT-23                         |REFERENCE,SHUNT PREC,5V,SOT-23-3                       |Yes  |296-20905-1-ND               |IC_LM4040D50IDBZR                                                                                                                                                         |            |SOT-23-3                        
|IC-REFERENCE-SOT-23-TL4051A12QDBZR       |              |REFERENCE         |TEXAS INSTRUMENTS          |TL4051A12QDBZR          |SOT-23                         |REFERENCE,SHUNT PREC 1.23V,SOT23-3                     |Yes  |296-22829-6-ND               |IC_TL4051A12QDBZR                                                                                                                                                         |            |SOT-23                          
|IC-REFERENCE-TSOT-23-6-LT6654AHS6-2.5#   |              |REFERENCE         |LINEAR TECHNOLOGY          |LT6654AHS6-2.5#TRMPBF   |LT6654-2.5                     |REFERENCE,SERIES PREC,TSOT-23-6                        |Yes  |LT6654AHS6-2.5#TRMPBFCT-ND   |IC_LT6645                                                                                                                                                                 |            |TSOT-23-6                       
|IC-REFERENCE-TSOT-23-6-LT6654AHS6-4.096# |              |REFERENCE         |LINEAR TECHNOLOGY          |LT6654AHS6-4.096#TRMPBF |LT6654-4                       |REFERENCE,SERIES PREC,TSOT-23-6                        |Yes  |LT6654AHS6-4.096#TRMPBFCT-ND |IC_LT6654AHS6-4.096                                                                                                                                                       |            |TSOT-23-6                       
|IC-REFERENCE-TSOT-23-6-LT6654AHS6-5#     |              |REFERENCE         |LINEAR TECHNOLOGY          |LT6654AHS6-5#TRMPBF     |LT6654-5                       |REFERENCE,SERIES PREC,TSOT-23-6                        |Yes  |LT6654AHS6-5#TRMPBFCT-ND     |IC_LT6654AHS6-5,                                                                                                                                                          |            |TSOT-23-6                       
|IC-REGULATOR-16-MSOP-LTC3630IMSE#PBF     |              |REGULATOR         |LINEAR TECHNOLOGY          |LTC3630IMSE#PBF         |SOP65P437X110-8                |REGULATOR,BUCK SYNC,ADJ,0.5A,16MSOP                    |Yes  |LTC3630IMSE#PBF-ND           |IC_LTC3630IMSE#PBF                                                                                                                                                        |            |16-MSOP                         
|IC-REGULATOR-16-TSSOP-LM3495MTC/NOPB     |              |REGULATOR         |NATIONAL SEMICONDUCTOR     |LM3495MTC/NOPB          |TSSOP65P640X110-16N            |PWM BUCK REG LOW-OUT 16-TSSOP                          |Yes  |LM3495MTC-ND                 |IC_LM3495MTC                                                                                                                                                              |            |16-TSSOP                        
|IC-REGULATOR-20-HTSSOP-TPS76850QPWP      |              |REGULATOR         |TEXAS INSTRUMENTS          |TPS76850QPWP            |HTSOP65P640X120-21BN           |LDO VOLT REG, 5V, 1A, 20-HTSSOP                        |Yes  |296-15290-2-ND               |IC_TPS76850QPWP                                                                                                                                                           |            |20-HTSSOP                       
|IC-REGULATOR-32-SOIC-MCZ33730EKR2        |              |REGULATOR         |FREESCALE                  |MCZ33730EKR2            |HTSSOP_32P_0.65                |REGULATOR,BUCK,QUAD,PROG,3.5A,32SOIC                   |Yes  |MCZ33730EKR2-ND              |IC_MCZ33730EKR2                                                                                                                                                           |            |32-SOIC                         
|IC-REGULATOR-8-MSOP-ADP3335ARMZ-3.3-RL   |              |REGULATOR         |ANALOG DEVICES             |ADP3335ARMZ-3.3-RL      |SOP65P437X110-8                |REGULATOR,LDO,3.3V,500MA,8-MSOP                        |Yes  |ADP3335ARMZ-3.3-RLCT-ND      |IC_ADP3335                                                                                                                                                                |            |8-MSOP                          
|IC-REGULATOR-8-SOIC-ADP1706ARDZ-2.5-R7   |              |REGULATOR         |ANALOG DEVICES             |ADP1706ARDZ-2.5-R7      |SOIC_N_EP_9                    |REGULATOR,LDO,1A,2.5V,8SOIC                            |Yes  |ADP1706ARDZ-2.5-R7CT-ND      |IC_ADP1706                                                                                                                                                                |            |8-SOIC                          
|IC-REGULATOR-8-SOIC-MC78L05ABDG          |              |REGULATOR         |ON SEMICONDUCTOR           |MC78L05ABDG             |SOIC127P517X175-8              |REGULATOR,+5V,500MA,78L05,8SOIC                        |Yes  |MC78L05ABDR2GOSCT-ND         |IC_MC78L05ABDG                                                                                                                                                            |            |8-SOIC                          
|IC-REGULATOR-DPAK-3-L4941BDT-TR          |              |REGULATOR         |STMICROELECTRONICS         |L4941BDT-TR             |DPAK-3                         |REGULATOR,LDO,1A,DPAK                                  |Yes  |497-1168-6-ND                |IC_L4941BDT-TR                                                                                                                                                            |            |DPAK-3                          
|IC-REGULATOR-DPAK-3-MC78M05ABDTG         |              |REGULATOR         |ON SEMICONDUCTOR           |MC78M05ABDTG            |TO252-AB                       |REGULATOR,POS,500MA,5V,DPAK-3                          |Yes  |MC78M05ABDTGOS-ND            |IC_MC78M05ABDTG                                                                                                                                                           |            |DPAK-3                          
|IC-REGULATOR-DPAK-3-MC78M15BDTG          |              |REGULATOR         |ON SEMICONDUCTOR           |MC78M15BDTG             |TO252-AB                       |REGULATOR,LDO,500MA,15.0V,DPAK-3                       |Yes  |MC78M15BDTGOS-ND             |IC_MC78M15BDTG                                                                                                                                                            |            |DPAK-3                          
|IC-REGULATOR-SOIC-8-LT1963AES8#PBF       |              |REGULATOR         |LINEAR TECHNOLOGY          |LT1963AES8#PBF          |SOIC127P600X175-8N             |REGULATOR,LDO,LOW,NOISE,1.5A,8-SOIC                    |Yes  |LT1963AES8#PBF-ND            |IC_LT1963                                                                                                                                                                 |            |SOIC-8                          
|IC-REGULATOR-SOIC-8-LT1963AES8-3.3#PBF   |              |REGULATOR         |LINEAR TECHNOLOGY          |LT1963AES8-3.3#PBF      |SOIC127P600X175-8N             |REGULATOR,LDO1.5A,3.3V,8-SOIC                          |Yes  |LT1963AES8-3.3#PBF-ND        |IC_LT1963AES8-3.3                                                                                                                                                         |            |SOIC-8                          
|IC-REGULATOR-SOP6-S-1142B33I-E6T1U       |              |REGULATOR         |SEIKO INSTRUMENTS          |S-1142B33I-E6T1U        |HSOP_6P_1.91                   |REGULATOR,LDO,3.3V,0.2A,HSOP6                          |Yes  |728-1062-1-ND                |IC_1142B33I                                                                                                                                                               |            |SOP6                            
|IC-REGULATOR-TO-252-TL720M05QKVURQ1      |              |REGULATOR         |TEXAS INSTRUMENTS          |TL720M05QKVURQ1         |DPAK-3                         |REGULATOR,LDO,5V,400MA,TO-252                          |Yes  |296-24509-1-ND               |IC_TL720M05QKVURQ1                                                                                                                                                        |            |TO-252                          
|IC-REGULATOR-TO-263-3-MIC2937A-3.3WU-    |              |REGULATOR         |MICREL INC                 |MIC2937A-3.3WU          |TO_263_3P                      |REGULATOR,LDO,750MA,3.3V,TO263                         |Yes  |576-1131-ND                  |IC_MIC2937A                                                                                                                                                               |            |TO-263-3                        
|IC-REPEATER-8-SOIC-PCA9515D#             |              |REPEATER          |NXP SEMICONDUCTORS         |PCA9515D,112            |SO8                            |I2C BUS REPEATER 8-SOIC                                |Yes  |568-1033-5-ND                |IC_PCA9515,112                                                                                                                                                            |            |8-SOIC                          
|IC-RS422/485-TRNSCVR-8-SOIC-ADM3490ARZ   |              |RS422/485 TRNSCVR |ANALOG DEVICES             |ADM3490ARZ              |SO8                            |TRANSCEIVER,TXRX,RS-422/485,3.3V,8-SOIC                |Yes  |ADM3490ARZ-ND                |IC_ADM3490ARZ                                                                                                                                                             |            |8-SOIC                          
|IC-RS485-TRNSCVR-20-SOIC-ADM2587EBRWZ    |              |RS485 TRNSCVR     |ANALOG DEVICES             |ADM2587EBRWZ            |SOIC_20                        |TRANSCEIVER,FULL DUPLEX, RS485,ISOLATED                |Yes  |ADM2587EBRWZ-ND              |IC_ADM2582                                                                                                                                                                |            |20-SOIC                         
|IC-RTC-8SOIC-ISL12022IBZ                 |              |RTC               |INTERSIL                   |ISL12022IBZ             |SO8                            |RTC WITH ON CHIP ±5PPM TEMP COMPENSATION               |Yes  |ISL12022IBZ-ND               |IC_ISL12022IBZ                                                                                                                                                            |            |8SOIC                           
|IC-SENSOR-8-SOIC-TMP36FSZ                |40-000300-005 |SENSOR            |ANALOG DEVICES             |TMP36FSZ                |SO8                            |TEMP SENSOR,TMP36,LOW VOLTAGE                          |Yes  |TMP36FSZ-ND                  |IC_TMP36FSZ                                                                                                                                                               |            |8-SOIC                          
|IC-SHIFT-REGISTER-16-SOIC-MM74HC595MX    |              |SHIFT REGISTER    |FAIRCHILD SEMICONDUCTOR    |MM74HC595MX             |SOIC127P600X165-16N            |SHIFT,REGISTER,8-BIT,16-SOIC                           |Yes  |MM74HC595MXCT-ND             |IC_MM74HC595MX                                                                                                                                                            |            |16-SOIC                         
|IC-SW-HIGH-SIDE-8SOIC-MIC2505-1YM        |              |SW HIGH SIDE      |MICREL INC                 |MIC2505-1YM             |SO8                            |SW HIGH SIDE SGL 2A 8SOIC                              |Yes  |576-1081-ND                  |IC_MIC2505-1YM                                                                                                                                                            |            |8SOIC                           
|IC-SWITCH-20-TSSOP-ADG5434BRUZ           |              |SWITCH            |ANALOG DEVICES             |ADG5434BRUZ             |TSSOP65P640X120-20N            |SWITCH,QUAD,SPST,20-TSSOP                              |Yes  |ADG5434BRUZ-ND               |IC_ADG5434                                                                                                                                                                |            |20-TSSOP                        
|IC-SWITCH-8MSOP-ADG1402BRMZ              |              |SWITCH            |ANALOG DEVICES             |ADG1402BRMZ             |ADG1402                        |SWITCH,SPST,1OHM RON,8MSOP                             |Yes  |ADG1402BRMZ-ND               |IC_ADG1402BRMZ                                                                                                                                                            |            |8MSOP                           
|IC-SWITCH-BUS-20-VQFN-SN74CB3Q3245RGYR   |              |SWITCH BUS        |TEXAS INSTRUMENTS          |SN74CB3Q3245RGYR        |QFN50P350X450X100-21N          |SWITCH BUS 8BIT FET 20-VQFN                            |Yes  |296-19131-2-ND               |IC_SN74CB3Q3245                                                                                                                                                           |            |20-VQFN                         
|IC-TEMP-SENS-8-SOIC-ADT7410TRZ           |              |TEMP SENS         |ANALOG DEVICES             |ADT7410TRZ              |SO8                            |TEMPERATURE SENSOR ±0.5°C 16-BITI I2C                  |Yes  |ADT7410TRZ-ND                |IC_ADT7410TRZ                                                                                                                                                             |            |8-SOIC                          
|IC-TIMER-10MSOP-LTC2918IMS-B1#PBF        |              |TIMER             |LINEAR TECHNOLOGY          |LTC2918IMS-B1#PBF       |MSOP_10P_0.5                   |SUPERVISOR,W/TIMER,10MSOP                              |Yes  |LTC2918IMS-B1#PBF-ND         |IC_LTC2918                                                                                                                                                                |            |10MSOP                          
|IC-TRANSLATOR-SC70-5-SN74CB3T1G125-Q1    |              |TRANSLATOR        |TEXAS INSTRUMENTS          |SN74CB3T1G125-Q1        |SC70-5                         |LOW-VOLTAGE,BUS,SWITCH,WITH,5-V,TOLERANT,LEVEL,SHIFTER |Yes  |CCB3T1G125QDCKRQ1            |IC_SN74CB3T1G125-Q1                                                                                                                                                       |            |SC70-5                          
|IC-TRNSCVR-16TSSOP-MAX3227ECUE+          |              |TRNSCVR           |MAXIM INTEGRATED PRODUCTS  |MAX3227ECUE+            |TSSOP65P640X110-16N            |TXRX RS232 1MBPS SD 16TSSOP                            |Yes  |MAX3227ECUE+-ND              |IC_MAX3227E                                                                                                                                                               |            |16TSSOP                         
|IC-TRNSCVR-20-TSSOP-SN74LVTH245APWR      |              |TRNSCVR           |TEXAS INSTRUMENTS          |SN74LVTH245APWR         |TSSOP_20_0.65                  |IC BUS TRANSCEIVER 8BIT 20TSSOP                        |Yes  |296-1272-1-ND                |IC_SN74LVTH245APWR                                                                                                                                                        |            |20-TSSOP                        
|IC-TRNSCVR-48-QFN-AR8031                 |              |TRNSCVR           |ATHEROS                    |AR8031                  |QFN40P600X600X80-49AN          |10/100/1000 GIGABIT ETHERNET TRANSCEIVER               |Yes  |-                            |IC_AR8031                                                                                                                                                                 |            |48-QFN                          
|IC-UART-24-TSSOP-SC16IS750IPW#           |              |UART              |NXP SEMICONDUCTORS         |SC16IS750IPW,128        |SOP65P640X120-24               |UART,I2C/SPI,24-TSSOP                                  |Yes  |568-4523-1-ND                |IC_SC16IS750IPW,128                                                                                                                                                       |            |24-TSSOP                        
